Item,ctx_n_words,exp_ver,adj_cond,noun_cond,adj,noun,lemma_adj,lemma_noun,constr_preadj,constr_postadj,gpt_logp_adj,freq_adj,pld20_adj,concr_adj,freq_noun,pld20_noun,concr_noun,p_preadj,p_postadj,DKL
62,8,3,low,top,tropical,heat,tropical,heat,0.196078431372549,0.763636363636364,-10.98752,163,2.65,3.25,2044,1,3.79,0.196078431372549,0.2,0.913048581572893
62,8,4,top,low,intense,storm,intense,storm,0.196078431372549,0.372093023255814,-6.67884,520,2.25,2.41,1574,1.75,4.7,0.0980392156862745,0.116279069767442,0.259527332532761
65,9,1,low,low,pocket,watch,pocket,watch,0.48,0.557692307692308,-9.15861,1821,1.65,4.68,16831,1.55,4.61,0,0.557692307692308,1.80273276873487
65,9,2,low,top,pocket,promise,pocket,promise,0.48,0.557692307692308,-9.15861,1821,1.65,4.68,7809,1.8,2.09,0.48,0,1.80273276873487
65,9,3,top,low,solemn,watch,solemn,watch,0.48,0.531914893617021,-8.690662,112,2.35,1.52,16831,1.55,4.61,0,0,0.434657663803998
65,9,4,top,top,solemn,promise,solemn,promise,0.48,0.531914893617021,-8.690662,112,2.35,1.52,7809,1.8,2.09,0.48,0.531914893617021,0.434657663803998
69,8,1,top,low,winding,ocean,wind,ocean,0.58,0.578947368421053,-11.8466,100,1.55,3.93,1545,1.95,4.86,0.16,0,0.43562629982342
69,8,2,top,top,winding,river,wind,river,0.58,0.578947368421053,-11.8466,100,1.55,3.93,2829,1.3,4.89,0.58,0.578947368421053,0.43562629982342
69,8,3,low,low,deep,ocean,deep,ocean,0.58,0.41025641025641,-6.35841,3896,1.35,3.38,1545,1.95,4.86,0.16,0.41025641025641,0.365018136271377
69,8,4,low,top,deep,river,deep,river,0.58,0.41025641025641,-6.35841,3896,1.35,3.38,2829,1.3,4.89,0.58,0.128205128205128,0.365018136271377
70,13,1,low,low,monkey,wrench,monkey,wrench,0.64,0.833333333333333,-12.51332,1709,1.85,4.9,202,1.75,4.93,0.16,0.833333333333333,0.92411206215164
70,13,2,low,top,monkey,towel,monkey,towel,0.64,0.833333333333333,-12.51332,1709,1.85,4.9,722,1.6,4.86,0.64,0.0416666666666667,0.92411206215164
70,13,3,top,low,dry,wrench,dry,wrench,0.64,0.895833333333333,-5.729803,2184,1.3,3.77,202,1.75,4.93,0.16,0,0.202370789382298
70,13,4,top,top,dry,towel,dry,towel,0.64,0.895833333333333,-5.729803,2184,1.3,3.77,722,1.6,4.86,0.64,0.895833333333333,0.202370789382298
71,7,1,low,low,thin,jacket,thin,jacket,0.274509803921569,0.318181818181818,-10.66046,1029,1.25,3.83,1704,1.75,4.86,0.0392156862745098,0.318181818181818,0.559016182396988
71,7,2,low,top,thin,keys,thin,key,0.274509803921569,0.318181818181818,-10.66046,1029,1.25,3.83,2601,1.85,4.89,0.274509803921569,0.0227272727272727,0.559016182396988
71,7,3,top,low,spare,jacket,spare,jacket,0.274509803921569,0.785714285714286,-7.59135,1573,1.1,3.48,1704,1.75,4.86,0.0392156862745098,0,0.512848865523822
